Ponto1;Ponto 2;Ponto 3;Ponto 4;Ponto 5;Ponto 6;Ponto 7;Ponto 8;Ponto 9;Ponto 10;Ponto 11;Ponto 12;Ponto 13;Ponto 14;Ponto 15;Ponto 16;Ponto 17;Ponto 18;Ponto 19;Ponto 20;Ponto 21;Ponto 22;Ponto 23;Ponto 24;Ponto 25;Ponto 26;Ponto 27;Ponto 28;Ponto 29;Ponto 30;Ponto 31;Ponto 32;Ponto 33;Ponto 34;Ponto 35;Ponto 36;Ponto 37;Ponto 38;Ponto 39;Ponto 40;Ponto 41;Ponto 42;Ponto 43;Ponto 44;Ponto 45;Ponto 46;Ponto 47;Ponto 48;Ponto 49;Ponto 50;Ponto 51
0.003874675;0.005121805;-7.09791E-05;-4.0349E-05;0.009932457;0.009001543;0.010278031;0.009941342;-9.10607E-05;-5.89888E-05;0.013910899;0.015761717;2.38311E-05;0.016843585;5.94693E-05;0.000270094;0.000126108;0.009935357;0.008796015;0.001077851;0.00547827;0.001170779;-0.000163975;0.005788132;-0.000305076;2.00509E-05;-7.45592E-05;-0.001810957;0.000113519;-0.000125142;3.9402E-06;0.009528278;-0.000143826;-0.000278862;0.000368912;7.4566E-05;0.000191799;2.9517E-05;0.000548173;0.000462955;0.002626539;0.000555575;0.000259308;5.1545E-05;0.00040279;0.000127878;0.007350572;0.003785566;0.009726603;0.006875538;0.004330005
0.004526407;0.005111785;-0.000130956;-7.24618E-05;0.010023486;0.009008453;0.010368137;0.010011552;-9.82647E-05;-4.49981E-05;0.014112332;0.015757363;4.11914E-05;0.016924091;8.14249E-05;0.000239703;6.80118E-05;0.009918588;0.008755447;0.001081087;0.00547715;0.00121608;-0.000184364;0.005834116;-0.000298996;-2.70817E-05;-8.66879E-05;-0.001772946;0.000103586;-0.000182667;6.87313E-05;0.009470918;-0.000152886;-0.000273811;0.000317197;5.9438E-05;0.000189814;3.75806E-05;0.000603585;0.00053807;0.002699599;0.000541939;0.000248748;5.80893E-05;0.000394878;0.000138224;0.00737315;0.003827401;0.009826433;0.006850512;0.004493037
0.005219061;0.00511476;-0.000159762;-8.21797E-05;0.010090755;0.009009575;0.010458672;0.01009259;-0.000120227;-6.27532E-05;0.014285838;0.015757835;5.49217E-05;0.016987373;0.000110648;0.000204412;1.3346E-05;0.009907189;0.008783654;0.001039946;0.005480599;0.001284196;-0.000179881;0.00588709;-0.000331796;-4.83805E-05;-9.29669E-05;-0.001734822;6.74114E-05;-0.000218289;0.000117803;0.009450616;-0.000147203;-0.000322345;0.00027577;9.94293E-05;0.000170967;4.30634E-05;0.000629807;0.000608824;0.002792524;0.000505335;0.000238168;9.75797E-05;0.00039528;0.000153366;0.007414617;0.003878332;0.009889617;0.006859904;0.004558341
0.005940459;0.005157486;-0.000152635;-8.94003E-05;0.010150419;0.009010297;0.010564708;0.010204659;-0.000148899;-8.14611E-05;0.014438263;0.015755685;5.60208E-05;0.017032163;0.00011574;0.000200418;-3.92239E-05;0.009859374;0.008789997;0.000985026;0.005465047;0.00135336;-0.000161209;0.005916698;-0.00035496;-6.40427E-05;-9.64251E-05;-0.001660615;3.42563E-05;-0.00023684;0.000142036;0.009412954;-0.000137665;-0.000358981;0.000277975;0.000174026;0.000175333;5.73644E-05;0.00064712;0.000697955;0.002865197;0.000480658;0.000229864;0.000126801;0.000403244;0.000133532;0.007491869;0.003931037;0.009945736;0.006873673;0.004556372
0.006665301;0.005197657;-0.00011525;-0.000126315;0.010231602;0.009016042;0.01067299;0.010297836;-0.00014519;-5.4022E-05;0.014569048;0.015733796;4.56217E-05;0.017072976;0.00010655;0.000237172;-0.000101899;0.009744827;0.008747237;0.000958764;0.005451259;0.001396196;-0.000137374;0.00591575;-0.000317051;-0.000104629;-9.83092E-05;-0.001557525;4.6974E-05;-0.00022822;0.000184396;0.009351775;-0.000130747;-0.000319088;0.000308751;0.000231116;0.000189529;0.000122837;0.000696479;0.000775485;0.002886302;0.000463801;0.000241993;0.00012329;0.000422786;9.79346E-05;0.007597234;0.003988605;0.010076249;0.006891787;0.004540885
0.007364706;0.005228939;-9.953E-05;-0.000180813;0.010283756;0.009029563;0.010769309;0.010352975;-0.000143466;-4.65075E-05;0.014679857;0.015687821;2.81511E-05;0.017078576;8.52623E-05;0.000245487;-0.000191858;0.009664177;0.008705611;0.000957909;0.005450265;0.001435541;-0.000119531;0.005936082;-0.000306309;-9.90651E-05;-9.8972E-05;-0.001461793;8.20148E-05;-0.000244409;0.000223553;0.009317511;-0.000123444;-0.000287546;0.000339565;0.000241864;0.000221734;0.000142793;0.000742487;0.000789058;0.002907117;0.000429671;0.000250947;0.000127198;0.00044594;8.92426E-05;0.007667166;0.004000375;0.010217661;0.006874752;0.004555457
0.008028475;0.005263898;-9.26436E-05;-0.000226249;0.010302404;0.009017024;0.010843828;0.010392794;-0.00015262;-7.29688E-05;0.014755211;0.015632593;1.48222E-05;0.017051894;5.78029E-05;0.000245895;-0.000276466;0.009592304;0.008658657;0.000947541;0.005426372;0.001491673;-0.000111879;0.005966934;-0.000312496;-0.000102172;-9.10758E-05;-0.001379298;0.000113066;-0.00029158;0.000248471;0.009280059;-0.000116158;-0.000269752;0.00038999;0.000247335;0.000268394;0.000120363;0.000758235;0.000774275;0.002936158;0.000382382;0.00026665;0.00013765;0.000475829;9.01822E-05;0.007682216;0.003981478;0.010336141;0.006827593;0.004564211
0.008647846;0.005309337;-7.19656E-05;-0.000256105;0.010323308;0.008957204;0.010894768;0.010449246;-0.000160808;-0.000104583;0.014804979;0.01557634;5.06492E-05;0.01703976;3.42902E-05;0.000242814;-0.000331415;0.009540912;0.008639144;0.000915482;0.005379838;0.001563535;-0.000100857;0.005976739;-0.000295806;-0.000143079;-9.10526E-05;-0.00130043;0.000151567;-0.000304676;0.000263163;0.009220634;-0.000102201;-0.000256036;0.000458134;0.000285011;0.000341218;0.000117311;0.000773365;0.000789908;0.002976299;0.000326913;0.000277552;0.000141944;0.000501133;7.5759E-05;0.007662593;0.003960381;0.010409986;0.006791909;0.004543588
0.00920811;0.005342549;-5.59617E-05;-0.000290868;0.01035887;0.008902091;0.010926463;0.010477207;-0.000176946;-0.00013574;0.014848263;0.01549619;7.01261E-05;0.017029942;-5.77301E-06;0.000251839;-0.000405628;0.009449364;0.008597506;0.000869237;0.005334922;0.001630005;-8.64773E-05;0.00596478;-0.000281301;-0.000160609;-0.00011462;-0.001273537;0.000174182;-0.000293772;0.00026642;0.009166428;-8.40663E-05;-0.000244149;0.000487067;0.000305241;0.000365946;0.000127009;0.000777216;0.000808748;0.002960207;0.000260176;0.000288008;0.000144776;0.000543453;5.2646E-05;0.007649585;0.003933129;0.010443074;0.006743051;0.00451022
0.009713278;0.005338888;-5.18511E-05;-0.000335858;0.010386651;0.00885024;0.010950814;0.01047083;-0.000212295;-0.000173248;0.014902608;0.015399395;3.10317E-05;0.017002115;-6.67402E-05;0.000275501;-0.000475196;0.009308341;0.008506653;0.000813548;0.005280772;0.001690556;-8.41624E-05;0.005938612;-0.000274136;-0.000118891;-0.000130407;-0.00128558;0.000178411;-0.000281777;0.000259396;0.009084472;-6.86213E-05;-0.000244704;0.00049749;0.000304103;0.000339677;0.00015356;0.000767142;0.000810518;0.002906692;0.00019531;0.000306854;0.000128963;0.000603362;3.12939E-05;0.007650874;0.00391005;0.010427186;0.0066427;0.004454767
